Device,Seconds,Trial
Serial STL,14.437,0
Serial STL,14.2184,1
Serial STL,14.2145,2
Serial STL,14.2356,3
Serial STL,14.21,4
Serial STL,14.2228,5
Serial STL,14.2166,6
Serial STL,14.2206,7
Serial STL,14.2256,8
Serial STL,14.2234,9
Serial STL,14.216,10
Serial STL,14.2388,11
Serial STL,14.2264,12
Serial STL,14.2302,13
Serial STL,14.2361,14
Serial STL,14.2712,15
Serial STL,14.2643,16
Serial STL,14.2899,17
Serial STL,14.262,18
Serial STL,14.3083,19
TBB 1 core,16.2204,0
TBB 1 core,15.8926,1
TBB 1 core,15.8033,2
TBB 1 core,15.8051,3
TBB 1 core,15.8259,4
TBB 1 core,15.8188,5
TBB 1 core,15.8179,6
TBB 1 core,15.8375,7
TBB 1 core,15.8218,8
TBB 1 core,15.8232,9
TBB 1 core,15.8265,10
TBB 1 core,15.8362,11
TBB 1 core,15.8503,12
TBB 1 core,15.8359,13
TBB 1 core,15.8379,14
TBB 1 core,15.8131,15
TBB 1 core,15.8224,16
TBB 1 core,15.8352,17
TBB 1 core,15.8488,18
TBB 1 core,15.819,19
TBB,3.56494,0
TBB,2.99803,1
TBB,2.97639,2
TBB,3.08233,3
TBB,3.016,4
TBB,2.96616,5
TBB,2.95916,6
TBB,3.00165,7
TBB,2.94784,8
TBB,3.08975,9
TBB,3.04429,10
TBB,2.98664,11
TBB,3.03384,12
TBB,3.0229,13
TBB,3.01949,14
TBB,3.01268,15
TBB,3.04779,16
TBB,3.01627,17
TBB,3.0441,18
TBB,3.0362,19
OpenMP 1 Core,17.4804,0
OpenMP 1 Core,16.9585,1
OpenMP 1 Core,16.9631,2
OpenMP 1 Core,16.9512,3
OpenMP 1 Core,16.9444,4
OpenMP 1 Core,16.9589,5
OpenMP 1 Core,16.943,6
OpenMP 1 Core,16.951,7
OpenMP 1 Core,16.9432,8
OpenMP 1 Core,16.9523,9
OpenMP 1 Core,16.9641,10
OpenMP 1 Core,16.9476,11
OpenMP 1 Core,16.96,12
OpenMP 1 Core,16.9608,13
OpenMP 1 Core,16.9392,14
OpenMP 1 Core,16.9456,15
OpenMP 1 Core,16.9651,16
OpenMP 1 Core,16.9352,17
OpenMP 1 Core,16.9303,18
OpenMP 1 Core,16.9336,19
OpenMP,4.79741,0
OpenMP,3.98976,1
OpenMP,4.07874,2
OpenMP,4.0441,3
OpenMP,4.00623,4
OpenMP,3.97813,5
OpenMP,4.04636,6
OpenMP,3.97685,7
OpenMP,3.99881,8
OpenMP,3.9796,9
OpenMP,4.01886,10
OpenMP,4.01728,11
OpenMP,4.05004,12
OpenMP,4.00906,13
OpenMP,3.98782,14
OpenMP,4.03087,15
OpenMP,4.0076,16
OpenMP,4.07304,17
OpenMP,3.97325,18
OpenMP,3.95396,19
CUDA,3.18007,0
CUDA,0.626497,1
CUDA,0.627279,2
CUDA,0.625008,3
CUDA,0.626601,4
CUDA,0.626026,5
CUDA,0.626632,6
CUDA,0.625557,7
CUDA,0.62568,8
CUDA,0.624162,9
CUDA,0.626014,10
CUDA,0.626124,11
CUDA,0.625692,12
CUDA,0.626842,13
CUDA,0.627553,14
CUDA,0.627304,15
CUDA,0.627038,16
CUDA,0.62697,17
CUDA,0.626241,18
CUDA,0.626398,19
VTK,18.8646,0
VTK,18.91,1
VTK,19.0542,2
VTK,20.6369,3
VTK,19.2627,4
VTK,23.81,5
VTK,19.1566,6
VTK,19.0469,7
VTK,18.9969,8
VTK,19.0279,9
VTK,20.2737,10
VTK,21.9317,11
VTK,20.2887,12
VTK,20.0139,13
VTK,18.9463,14
VTK,19.0484,15
VTK,18.9852,16
VTK,23.6598,17
VTK,18.8636,18
VTK,20.6059,19
